Job Title,Öppenhet för erfarenhet,Samvetsgrannhet,Extraversion,Medmänsklighet,Emotionell stabilitet
"Verksamhetskonsult, IT",2.346429679155186,2.4521973840388074,4.309840485513785,2.1174670677481915,3.4049929253406064
Systemanalytiker/Systemutredare,3.660033229995805,4.06067760710093,2.5568854909312897,3.98023915520002,3.7664364871945657
Backend-utvecklare,3.6047826815161934,1.6332487996674498,2.421140915923233,2.003394390801028,2.2024577319464
IT-samordnare,3.0589143648243486,4.949366708999794,4.634234603936115,3.906851203964923,3.727108342846576
"Civilingenjör, systemutveckling",5.0,3.3034700430994697,2.5411763906999747,2.9723924016565366,1.0
Applikationsutvecklare/Apputvecklare,3.8742701402159674,3.5547712886355507,1.0,1.6131337987107537,2.3990426436369274
"Drifttekniker, data",2.6303400797049274,5.0,4.020463583860472,2.240910605759539,4.583073344748027
"Säkerhetsanalytiker, IT",4.917659302375863,4.08582725549631,2.606110956840628,3.848543425279364,5.0
Frontend-utvecklare,3.195986597317551,1.2909717505947458,1.4482203819826929,1.0,1.309516272870467
Kravanalytiker,4.183885427777214,3.3326301517045973,3.2852430073071544,4.404565834182537,2.2351156194166744
Helpdesktekniker/Supporttekniker,1.032567246628986,3.864607633540928,4.695273305674974,1.128664816965831,4.733871579449003
Systemadministratör,2.295281128137587,4.020264399155641,3.093233971277694,2.4963330660459286,2.6834655294154715
Nätverkstekniker,2.922998916097936,4.203678399817319,2.881789324971749,1.5940962015967752,2.5308028057897887
"Affärskonsult, IT",4.286823445279316,2.855172951145833,4.562333049990043,2.176479408907717,2.5567465322667333
Systemtestare,4.639916831279102,4.64406415919008,2.905529389052636,1.6724065820443932,1.4766919393025035
Testledare,1.0,3.85620725668924,3.3863128645804097,4.161473567058101,1.0930217289127055
"Säkerhetsansvarig, IT",3.668132003013968,4.663536932390436,2.990668281631468,4.198355189897274,3.48371512169125
Systemutvecklare/Programmerare,2.687576516377204,1.6438551278876004,2.4970118882977017,1.731575786206566,3.0218226492585387
IT-strateg,3.3008029390822826,4.325814833975328,5.0,4.043430151283491,2.000119457809053
Systemförvaltare,3.250532177425661,4.993072011515315,4.238347333260711,4.566910310594272,4.213831169622546
Mjukvaruutvecklare,2.6490045651729943,1.0,1.8403634222540508,1.301213759979176,2.1816688934138915
IT-tekniker/Datatekniker,1.3486525538339451,3.985921421286421,2.4840023520043677,2.039493053889431,3.679243014664585
Applikationskonsult,2.4908743277029624,3.484889677251465,3.5768349238756363,2.5796810128993584,2.304661844637171
IT-arkitekt/Lösningsarkitekt,4.607427495346736,2.6870101783281166,4.380451867796904,5.0,3.131046436797386
Systemansvarig,3.568730798598164,4.402737045069278,4.6981860220636165,3.6473483975803154,2.196211225354749
"Projektledare, IT",1.714492234755554,3.871065731708649,4.884566727874111,3.9695330443090167,3.866547605889746
