Value,Öppenhet för erfarenhet,Samvetsgrannhet,Extraversion,Medmänsklighet,Emotionell stabilitet
Systemutvecklare/Programmerare,2.893731902508085,1.0,2.09117173309701,2.414851029160941,3.3492333194653594
Helpdesktekniker/Supporttekniker,1.0,3.423087667120885,2.50574454912591,1.0,4.109585842880519
Applikationsutvecklare/Apputvecklare,4.443362789504958,3.091983324753026,1.0,1.0253676172905424,4.181748308027072
Systemadministratör,2.2101465331062533,4.1638464731940825,2.125601709612737,1.5911270072809425,2.723324220117067
"Civilingenjör, systemutveckling",4.381980088234306,3.2344284466809605,3.8431386036553854,2.489461491988653,1.6525735716351455
Nätverkstekniker,1.8678605566461268,4.139868700432356,2.771454081474711,2.001617102934473,3.201291838741748
IT-tekniker/Datatekniker,1.0218453598605906,3.800794410110905,2.473300834871448,2.3193661924691207,4.004642042371235
Systemtestare,3.4294923792324714,4.845303414564665,2.188861356455416,2.2646838339756417,1.6268166587344788
Systemansvarig,2.7423022959786136,4.0156712646870485,4.625296699544707,2.611778343414748,2.635525316542858
"Verksamhetskonsult, IT",2.4474048124000074,1.6411192177849103,3.014793155776378,3.228130755656701,3.767752095375555
Mjukvaruutvecklare,3.5231662919697344,1.2774260119026049,2.385672106593256,2.297804745014071,3.4404631160152457
IT-strateg,3.10584011578626,2.5996792090218754,4.046445352405039,4.156505284215781,2.4332168483288883
Frontend-utvecklare,3.551788659467303,1.305010512553598,2.257143792126601,2.438891027209336,1.30173129200052
"Projektledare, IT",1.433628152112504,2.760717258743937,5.0,4.283199505258118,2.8146293633326094
Systemförvaltare,2.4527294869230616,5.0,3.451988363145057,3.5344064712297483,3.9333429022996182
Systemanalytiker/Systemutredare,3.514427413678899,3.1977207646357093,2.3893736974715534,3.2513450886698725,4.604395647849371
Backend-utvecklare,3.199722392730161,1.6499118703861249,2.6517826626992,2.803913864397232,1.761418746972832
IT-arkitekt/Lösningsarkitekt,3.463512783320005,2.3392809601070903,3.963890165050357,5.0,3.022360616843698
IT-samordnare,2.4560692204422256,4.119136983824001,4.122971985552772,3.58215718841095,4.076394912228892
"Drifttekniker, data",2.292669269939197,4.4224687703526735,2.6260061809957813,3.1779640668185536,3.8432668816005062
Testledare,1.0405795118991052,4.135514920271616,3.760844629333663,3.5088320224244405,1.0
"Säkerhetsansvarig, IT",2.5338293303679125,3.904393919747279,3.9371323935526976,4.479970390592894,4.634990954542397
"Affärskonsult, IT",3.7761891111213375,2.5728711072468,3.2991111498881955,4.085636614787849,4.032011398033717
Applikationskonsult,1.9491624418226083,2.7168579885725315,4.438781594342396,3.7396022610340593,2.841090533563995
"Säkerhetsanalytiker, IT",5.0,3.094354115003363,2.5296677051978254,3.7332795093656954,5.0
Kravanalytiker,3.841877603780292,3.074597577255451,2.685041278486108,4.174774115839538,2.6686829609756955
