title,company_name,job_description,link,skills
Embedded Software Engineer,Volvo Group,Mjukvaruutvecklare,/platsbanken/annonser/27509157,[]
Senior Software Engineer – Angular,Group Digital & IT,Systemutvecklare/Programmerare,/platsbanken/annonser/27508796,['Azure']
Projektledare - digitalisering av vården,VästKom,"Projektledare, IT",/platsbanken/annonser/27508522,[]
Senior cyber security engineer till innovativt techbolag,Semcon,Datasäkerhetsansvarig,/platsbanken/annonser/27508235,[]
Fullstackutvecklare till kreativ tech- och designbyrå,Intunio,Systemutvecklare/Programmerare,/platsbanken/annonser/27508234,"['C#', '.NET']"
Backendutvecklare till tryggt konsultbolag med bred expertis,Technogarden,Backend-utvecklare,/platsbanken/annonser/27508229,['.NET']
Embedded utvecklare till kreativt techbolag,Semcon,Systemutvecklare/Programmerare,/platsbanken/annonser/27508221,[]
Test Lead till techbolag i expansionsfas,Yoin Technologies,Systemtestare,/platsbanken/annonser/27508209,[]
Development Lead till techbolag i expansionsfas,Yoin Technologies,Systemutvecklare/Programmerare,/platsbanken/annonser/27508203,[]
DevOps Lead till techbolag i expansionsfas,Yoin Technologies,Systemutvecklare/Programmerare,/platsbanken/annonser/27508202,[]
Backendutvecklare till växande entreprenörsverksamhet,Extrapreneur Göteborg,Backend-utvecklare,/platsbanken/annonser/27508198,"['C#', 'Java', '.NET']"
Systemutvecklare till innovativt IT-företag,Prevas,Systemutvecklare/Programmerare,/platsbanken/annonser/27508192,['.NET']
Backendutvecklare till teknik- och designbyrå,QueensLab,Backend-utvecklare,/platsbanken/annonser/27508179,"['Python', '.NET']"
Systemutvecklare till modernt techbolag,Yoin Technologies,Systemutvecklare/Programmerare,/platsbanken/annonser/27508178,"['Python', 'Java']"
DevOps-utvecklare till modernt techbolag,Yoin Technologies,Systemutvecklare/Programmerare,/platsbanken/annonser/27508170,[]
E-mobility lead till kreativt techbolag,Semcon,"Civilingenjör, systemutveckling",/platsbanken/annonser/27508168,[]
Androidutvecklare till innovativt techbolag,Semcon,Applikationsutvecklare/Apputvecklare,/platsbanken/annonser/27508167,[]
Utvecklare C# .NET - Göteborg,Fostira AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27508068,[]
Back & Front-end utvecklare,Fostira AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27508066,['Java']
Mobile App QA Engineer,Incluso Göteborg,Systemtestare,/platsbanken/annonser/27507446,[]
Backend Engineer,Sector Alarm AB,Databastekniker,/platsbanken/annonser/27507377,"['C#', '.NET']"
Experienced Software Developer (710975),Ericsson AB,Mjukvaruutvecklare,/platsbanken/annonser/27507349,[]
Alligo söker IT-tekniker inom Digital Workspace och Microsoft 365,Simplified,IT-tekniker/Datatekniker,/platsbanken/annonser/27507255,['Azure']
Software Engineers SW (Automotive),High Vision Engineering AB,"Civilingenjör, systemutveckling",/platsbanken/annonser/27507209,['Python']
Senior UX Designer,Sector Alarm AB,IT-strateg,/platsbanken/annonser/27506954,[]
Technical Solutions Architect Dynamics 365 till vårt Managed Services-team,Göteborg,IT-arkitekt/Lösningsarkitekt,/platsbanken/annonser/27506628,[]
Backend utvecklare - C#/.Net/Azure,Advantek - Avatron AB,Backend-utvecklare,/platsbanken/annonser/27506620,[]
Embedded Software - C/C++/Linux,Advantek - Avatron AB,Mjukvaruutvecklare,/platsbanken/annonser/27506604,[]
IT Architect .net – Material Planning,Volvo Group,IT-arkitekt/Lösningsarkitekt,/platsbanken/annonser/27506319,"['C#', '.Net', '.net', 'Azure']"
Mjukvaruarkitekt / Systemutvecklare till Maverick!,Nexer AB,Mjukvaruutvecklare,/platsbanken/annonser/27506098,['Python']
Architecture Lead,AstraZeneca,Systemutvecklare/Programmerare,/platsbanken/annonser/27506062,[]
Clinical IT Senior Business Analyst,AstraZeneca,IT-strateg,/platsbanken/annonser/27505929,[]
Senior Software Engineer,UNFORS RAYSAFE AKTIEBOLAG,Mjukvaruutvecklare,/platsbanken/annonser/27505515,[]
Subject Matter Expert /SME,CGI Göteborg,"Processansvarig, ITIL",/platsbanken/annonser/27505376,[]
Fullstack utvecklare | Göteborg | Experis,Experis,Systemutvecklare/Programmerare,/platsbanken/annonser/27505350,[]
Service Delivery Leader Office Workplace Services,Group Digital & IT,Systemadministratör,/platsbanken/annonser/27505330,[]
DevSecOps Engineer Internship,Group Digital & IT,Mjukvaruutvecklare,/platsbanken/annonser/27504995,['Azure']
Fuel and energy test engineer,Volvo Group,Systemtestare,/platsbanken/annonser/27504970,[]
Scrum Master R&D,Quest Consulting Sverige AB,"Projektledare, IT",/platsbanken/annonser/27504636,[]
Servicedeskmedarbetare,Quest Consulting Sverige AB,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27504630,[]
"Supporttekniker IT, kväll",WRKFRC,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27504466,[]
Senior DevOps Engineer,Rapid Images AB,Databasdesigner,/platsbanken/annonser/27504384,[]
Senior Frontend Developer | Digital Design System | Polestar Digital,Polestar,Systemutvecklare/Programmerare,/platsbanken/annonser/27504053,[]
IT-tekniker till InfoCare 💻😎,Wrknest,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27503809,[]
Databas & Systemadministratör till IVL i Göteborg,Rizing,Databasadministratör,/platsbanken/annonser/27503252,['Azure']
Customer Project Manager,Kognic,"Processansvarig, ITIL",/platsbanken/annonser/27502446,[]
Fullstackutvecklare till Sileo Kapital,Centric Professionals AB,IT-strateg,/platsbanken/annonser/27502318,['C#']
Software engineer to Mpya Sci & Tech,Mpya Sci & Tech,Mjukvaruutvecklare,/platsbanken/annonser/27502099,['Python']
Full stack software developer,Tekiva AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27501637,['Java']
Systemadministratör & datorreparation,LagaiPhone.se Avenyn,Systemadministratör,/platsbanken/annonser/27500723,[]
Onsite tekniker till kund i Göteborg,Fusion Support AB,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27500721,[]
IT TRAINING & SUPPORT SPECIALIST TO PICADELI,Picadeli,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27500714,[]
Social Supporttekniker inom Print & Dokument - sökes till Connect i Göte...,Connect,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27500703,[]
Service Specialist,Jeppesen,Systemutvecklare/Programmerare,/platsbanken/annonser/27500091,[]
"Matematiker/Scala-utvecklare till FinTech StartUp, Remote",Wade & Partners AB,Backend-utvecklare,/platsbanken/annonser/27500081,[]
Android Software Developer,Volvo Car Corporation,Mjukvaruutvecklare,/platsbanken/annonser/27500063,[]
Applikationskonsult till Fellowmind och vårt Managed Service-team!,Fellowmind Sweden,Applikationskonsult,/platsbanken/annonser/27500017,[]
Experienced Software Engineer .NET,Group Digital & IT,Systemutvecklare/Programmerare,/platsbanken/annonser/27499942,['.NET']
Fellowmind söker en Fullstack-utvecklare med stort hjärta,Fellowmind Sweden,Systemutvecklare/Programmerare,/platsbanken/annonser/27499943,"['Java', '.NET']"
Affärssystemskonsult med hjärta till Fellowmind i Göteborg,Fellowmind Sweden,Applikationskonsult,/platsbanken/annonser/27499826,[]
ServiceNow/Digital Consultant,weITglobal,Mjukvaruutvecklare,/platsbanken/annonser/27499772,[]
Mandarin Speaking Factory Support Engineer,Incluso AB,Systemtestare,/platsbanken/annonser/27499582,[]
Vi söker mjukvaruutvecklare i Göteborg,SWEDSPOT AB,Mjukvaruutvecklare,/platsbanken/annonser/27499102,[]
Professional Software Engineer - React,Volvo Group,Mjukvaruutvecklare,/platsbanken/annonser/27498903,['Azure']
Senior Software Engineer - Full stack,Volvo Group,Mjukvaruutvecklare,/platsbanken/annonser/27498872,"['Java', 'Azure']"
Associate Software Engineer - React,Volvo Group,Mjukvaruutvecklare,/platsbanken/annonser/27498831,['Azure']
Professional Software Engineer -Node.js,Volvo Group,Mjukvaruutvecklare,/platsbanken/annonser/27498757,['Azure']
Professional Software Engineer - Full stack,Volvo Group,Mjukvaruutvecklare,/platsbanken/annonser/27498710,['Azure']
It-tekniker med kompetens inom Audio Video,"Koncernkontoret, Koncernstab Digitalisering, Användarnära tjänster",IT-tekniker/Datatekniker,/platsbanken/annonser/27497714,[]
Senior Salesforce Engineer,Volvo Car Corporation,Systemutvecklare/Programmerare,/platsbanken/annonser/27497621,[]
Forskare/expert inom Hållbar Mobilitet,RISE Research Institutes of Sweden,"Civilingenjör, systemutveckling",/platsbanken/annonser/27497036,[]
Digital Program Manager | Planning and PMO,Polestar,"Projektledare, IT",/platsbanken/annonser/27496979,[]
