Value,Öppenhet för erfarenhet,Samvetsgrannhet,Extraversion,Medmänsklighet,Emotionell stabilitet
"{'concept_id': 'fg7B_yov_smw', 'label': 'Systemutvecklare/Programmerare', 'legacy_ams_taxonomy_id': '2419'}",79.24766564286976,47.7195638565599,75.40761633567057,77.70855099853476,83.21517293142615
"{'concept_id': 'KQty_E1u_cia', 'label': 'Helpdesktekniker/Supporttekniker', 'legacy_ams_taxonomy_id': '7020'}",61.432709738837154,84.37521241033315,79.52321502113239,61.860003513545074,90.64762294235973
"{'concept_id': 'CZkP_hCz_KM8', 'label': 'Applikationsutvecklare/Apputvecklare', 'legacy_ams_taxonomy_id': '7576'}",93.82555065542813,79.36637819721305,64.57520095117007,62.144160558296726,91.35301142776709
"{'concept_id': 'Lxas_8K9_W1o', 'label': 'Systemadministratör', 'legacy_ams_taxonomy_id': '2918'}",72.81695430701134,95.58116043564542,75.74941386944502,68.48155182602552,77.09690811473325
"{'concept_id': 'CQse_CRd_snw', 'label': 'Civilingenjör, systemutveckling', 'legacy_ams_taxonomy_id': '6509'}",93.24810349146642,81.52123969828034,92.79995917789897,78.54430503809841,66.63031475975694
"{'concept_id': 'Nkbd_wa9_TZF', 'label': 'Nätverkstekniker', 'legacy_ams_taxonomy_id': '5912'}",69.59695808202835,95.21843282022225,82.16099965092144,73.07968381235983,81.76904416067785
"{'concept_id': 'tdCZ_6Pn_VzT', 'label': 'IT-tekniker/Datatekniker', 'legacy_ams_taxonomy_id': '6625'}",61.63821618993972,90.08903193708733,79.20113575646623,76.63897127797277,89.62179672725192
"{'concept_id': 'ZtTD_4VC_f4i', 'label': 'Systemtestare', 'legacy_ams_taxonomy_id': '5422'}",84.28773982408174,105.89000996113108,76.37741288270004,76.026443218613,66.37854079745019
"{'concept_id': 'wNG8_Rsg_RQc', 'label': 'Systemansvarig', 'legacy_ams_taxonomy_id': '5996'}",77.82311776504469,93.33961612789464,100.56469605114589,79.9144453483405,76.23867335949225
"{'concept_id': '6CfM_iwp_hDJ', 'label': 'Verksamhetskonsult, IT', 'legacy_ams_taxonomy_id': '7578'}",75.04892060482094,57.41819797825355,84.57670549461483,86.81855770474701,87.30619621970057
"{'concept_id': 'rQds_YGd_quU', 'label': 'Mjukvaruutvecklare', 'legacy_ams_taxonomy_id': '80'}",85.1689609845651,51.9163704888432,78.33121697509279,76.39744929665216,84.10694468397999
"{'concept_id': 'mBMU_HvW_LMY', 'label': 'IT-strateg', 'legacy_ams_taxonomy_id': '5432'}",81.24303703700917,71.9189684758557,94.8182511535148,97.21780645706906,74.26110699325575
"{'concept_id': 'GDHs_eoz_uKx', 'label': 'Frontend-utvecklare', 'legacy_ams_taxonomy_id': '7633'}",85.43822096490491,52.33365946072574,77.05527474827126,77.97783662843955,63.20082958701879
"{'concept_id': 'z5AM_ayf_WcL', 'label': 'Projektledare, IT', 'legacy_ams_taxonomy_id': '5388'}",65.51199171027156,74.35509748368928,104.28449713594374,98.63698016290722,77.98941638134963
"{'concept_id': 'nFJR_WkF_ir7', 'label': 'Systemförvaltare', 'legacy_ams_taxonomy_id': '2919'}",75.09901156104652,108.23020744763974,88.91688398960643,90.24932541224004,88.92484724910112
"{'concept_id': '7YaM_bPu_c1T', 'label': 'Systemanalytiker/Systemutredare', 'legacy_ams_taxonomy_id': '2411'}",85.08675149588524,80.96593833195662,78.36796386722808,87.0785945930898,95.4843914505149
"{'concept_id': '7wdX_4rv_33z', 'label': 'Backend-utvecklare', 'legacy_ams_taxonomy_id': '7632'}",82.12621834779064,57.55121024519662,80.97298269766922,82.06666410853744,67.69427693482154
"{'concept_id': 'uyJg_i94_xmr', 'label': 'IT-arkitekt/Lösningsarkitekt', 'legacy_ams_taxonomy_id': '6626'}",84.60778090162502,67.97975206789974,93.99869905695066,106.66626836642774,80.01999050306753
"{'concept_id': 'AQ8y_9XL_Jvv', 'label': 'IT-samordnare', 'legacy_ams_taxonomy_id': '2915'}",75.13042952749485,94.90481044154235,95.5779558389365,90.78420823247404,90.32318141650462
"{'concept_id': 'Cb5F_v1d_4qK', 'label': 'Drifttekniker, data', 'legacy_ams_taxonomy_id': '5431'}",73.59327270551955,99.49351084766289,80.71709121102862,86.25661221802847,88.04435366170176
"{'concept_id': 'bbSi_hWq_H98', 'label': 'Testledare', 'legacy_ams_taxonomy_id': '6826'}",61.81445449063242,95.15257031032712,91.9830002277581,89.96285153058076,60.251404582870045
"{'concept_id': 'fZoS_si8_SFg', 'label': 'Säkerhetsansvarig, IT', 'legacy_ams_taxonomy_id': '2720'}",75.86194433568082,91.65625018804164,93.7330659885394,100.84112226381876,95.78346073819706
"{'concept_id': 'TT8h_qKk_1iu', 'label': 'Affärskonsult, IT', 'legacy_ams_taxonomy_id': '7579'}",87.54922946920642,71.51342460288946,87.39922235432655,96.42396636402924,89.88933232623853
"{'concept_id': 'urWs_F5u_msS', 'label': 'Applikationskonsult', 'legacy_ams_taxonomy_id': '7577'}",70.36179152936874,73.69160931731257,98.71310016229269,92.54783963840714,78.24807446285664
"{'concept_id': 'FHwx_yXu_FAd', 'label': 'Säkerhetsanalytiker, IT', 'legacy_ams_taxonomy_id': '2719'}",99.06201910504308,79.40224270817988,79.76070794366595,92.47701491694421,99.35142612314382
"{'concept_id': 'Gjz2_EJT_HGL', 'label': 'Kravanalytiker', 'legacy_ams_taxonomy_id': '7621'}",88.1671826222223,79.10337250461548,81.30315175391371,97.42244598414077,76.56278951237942
